YEAR,3M,Accenture,"ADP, inc",advanced micro devices,aetna,Ahold Delhaize,akamai technologies,Amazon,amgen,analog devices,apple,applied materials,aptiv,asml,at&t,ati,atos se,avangrid,bae systems,Biogen,bloomberg lp,Boeing,Booz Allen Hamilton,bose,Boston Consulting Group,Boston Scientific Corporation,Capital One,Cargil,chevron corporation,cisco,clarion,corning incorporated,cummins,cypress semiconductor corporation,daimler ag,Danfoss,dassault systemes,Deere & Company (John Deere),Department of Commerce,Department of Defense,Department of Energy,Department of State,Department of Transportation,Dow Chemical co,eli lilly and company,Exelon Coporation,Exxon,facebook,Ford,gd mission systems,general electric,general motors,GlaxoSmithKline,Global Foundries,Google (ALPHABET),Harvard,home depot,ibm,infosys limited,Intel Corporation,Johns Hopkins Applied Physics Laboratory (Johns Hopkins University),Johnson & Johnson Family of Companies,Kensho Technologies (S&P Global),L'Oreal,L3Harris,leidos,lenovo,lockheed martin,Lyft,magna international,Mastercard,Mathworks,maxim integrated,mckinsey & company,merck,microsoft,milwaukee tool,MIT,nasa,nasdaq,nordstrom,northrop grumman corporation,nvidia,oracle,Pepsico,Procter & Gamble,raytheon,regal beloit,Rio Tinto,saint-gobain,salesforce,samsung,schlumberger,ses,shell oil company,Siemens,sigma alimentos,Sony Corporation,stmicroelectronics,Taiwan Semiconductor Manufacturing Company,Texas Instruments,The Port Authority of NY & NJ,united technologies corporation,UnitedHealth Group,university of california berkeley,Veoneer,Visa,Verizon,Walmart,Xilinx,XPO Logistics,Xylem
2011,251894.24472029664,8754.797556914069,24614.771708663542,25885.151890886547,,66370.84655015884,87283.87096774194,,41544.53441295547,69072.75541795665,2300.56809787937,21736.490588949608,,16072.438354795959,86725.23694028033,,18447.956962896835,,41250.24336426763,,,27909.62288686606,,,,21891.152325934938,15474.56313416009,,375253.41204170487,17719.374693610764,,135733.48729792147,41781.753018108655,,26481.95339361994,,9719.038649206817,48099.75170031307,29742.214624036158,37531.80605794877,91179.81359399864,,8636.206521321676,,89214.15878569815,1327900.4322967508,374378.2646676056,,39791.52127611365,,42985.71961137866,54170.61173877101,68834.94694302573,,48220.239254958506,69372.3110865968,48960.345404432264,31076.131048827294,,0.1073082774049217,,25929.533804728813,80783.9585730725,0.008228696807949534,,,3270.455612963832,26464.97930901742,,49048.45257159882,,,,,63174.488677867055,43332.87272727273,,,58411.21495327103,,,61501.53658432161,12973.218797372412,15125.038086532604,,94164.18124690984,27256.02423256024,,1049757.567198607,339599.58122105116,1865.5525996756603,66816.79656948677,,,204465.52711212888,89132.01192579506,,18610.780778819557,141536.51342554923,3080676.1203406355,181447.56606397775,,39087.26545113012,,48914.08634976014,,,71906.70367207515,47314.60067548056,18608.03953972112,3229507.759230348,
2012,244529.21100180686,8915.936510536603,20601.51893624,29877.923292797004,,,91721.1350293542,,35192.749934170104,66500,1533.3820494336753,21051.958024059382,,21375.24700917089,91112.5373853349,,22021.63394095921,,36952.29101396749,,,24294.405376475213,,,,22138.440657517716,15255.92718035563,,388178.2281433317,18081.299498949415,,163648.53076216712,42789.980607627665,,24171.79035816697,,7031.45737517538,45064.64746160015,41629.6649266824,31718.677042295472,56267.821692835234,,7390.051404538138,,90439.57408316138,951659.0641899836,381791.1093577001,,39586.11906318329,,37798.05885803821,41723.54020578019,64237.53421917965,,38617.13144268931,60661.67824692678,45721.70411191182,33595.64170597484,7702.203667039683,0.1061306625577812,,23328.194842406876,42751.400560224094,0.00795786703931357,,16261.651131824234,3158.264542601979,24545.256858226156,,66937.05528188287,,,,,67319.75356428618,42904.984968188495,,,56112.50348092454,,,36461.43049327354,23368.706240487063,16965.8966312526,,88179.75403512486,29731.646389415735,,937205.1577733515,357993.8168284662,9328.584468579593,66686.20140404695,79470.58143567218,,201649.68648274936,81591.88286938464,,20082.586543605543,148805.11727078893,2718055.4410995366,217563.6829112188,2301782.2047751844,34246.45886877041,1214.764567421812,40969.91012114107,,,65504.08949544891,44633.18309005601,16448.872638403725,,
2013,261662.73721640318,8765.416823668236,20058.805071646893,32490.658001624695,,49893.72897450423,87270.77747989276,,32240.307619123123,65722.4554039874,1081.4774712700248,23112.264503042978,,18273.953783745255,105503.19740389893,,11665.250925894465,,52322.36695929851,,,20027.228888068916,,,,19922.15655182356,14770.87310003535,,376649.3596629932,17992.68880765342,,200750.8292424041,41253.26135852452,87941.74757281553,22578.983524729643,,7469.839781083963,46224.09631096807,39723.111528058034,37651.37654813817,93211.20047661602,,8459.900823013215,,92145.38799756773,2354413.5935297175,383395.30682128534,,34755.13130042538,,40946.08555422101,53018.223461461865,55273.64843402579,,29459.89875428061,55913.527180783814,40446.23890586352,34834.48179768449,5385.348026687026,0.10546263369209488,,21383.500496972985,34868.92307692308,0.007613343843437343,,14267.058439438459,3143.793280250936,23545.173656806084,,47386.20451477191,,,,,63079.422727707155,41556.12235343116,,,52347.747566971004,57588.899341486365,,39394.13168157834,21596.662030598054,17619.22009864365,,84060.64715301721,25640.894782028045,,1037125.748502994,323686.59839356225,9958.817881081108,31354.485925585,59394.81499317762,36326.2280449615,200252.6644729523,64510.12705331987,,19698.901711911443,164743.8721136767,2376774.879520885,255147.89290240812,2250287.416579679,33605.22316069927,1006.1964901647965,40841.192787794724,,18460.64703042009,117597.5443923824,47787.994712837615,18021.477134172732,,20322.187588551995
2014,258986.21032124988,9498.951558904548,17590.425403566347,36976.90655209452,,,71864.14442179754,,28962.14040840662,115245.46322827126,935.5754766217419,25172.57098202657,47322.23189667682,18601.45615055277,86293.81955955482,,6838.366634819092,,52094.94611053356,22609.930491541894,,19082.500320763298,,,,17026.411047057245,18135.911040046514,,406584.00633935345,18483.92710892711,,160710.4761904762,46417.21815859747,179071.42857142855,18161.13625073191,,6082.084191370144,49053.930090504975,43796.213872100205,42492.342765809044,59755.50596681867,,9191.320468966238,,99302.63956498582,1530564.6763119176,423340.96109839814,73599.05288082085,31891.74514575948,,40930.2861090323,54219.337465050055,58202.788917621445,,25989.819210180787,56918.71921182265,37647.66262848241,33896.5587567472,4524.9048586241925,0.056287300901140556,,22253.8617395022,19736.017209588197,0.00776253584237667,,10395.950099439522,3483.375179149637,34788.54716591204,,52542.62421363461,,,,,103172.31434751263,40207.25973867383,,70933.07600016361,49329.44926898978,,,40352.62283408497,21743.654822335026,15967.18104759835,,87313.78486540774,26554.50881612091,,1035871.8588145023,338602.3508735433,12302.928960520941,46422.76093262389,69745.24631084353,30057.376944900323,219268.69926109092,35372.912155306876,,17663.894783673335,181091.26984126985,2213165.8959282106,253142.73281114013,2210095.4138786905,41962.122714472694,916.6897938662644,38203.38983050847,,17661.487964989057,110474.24471877076,47476.01740000974,17613.256433382256,875404.1122462177,21656.68662674651
2015,267522.091756446,8948.793663930426,14204.638565185722,44606.65926748058,,49437.90773532152,51111.16458217547,,28722.513885718632,93738.45489857574,564.3597870572668,22954.768325569996,52500.44523597507,23924.33927703637,88975.67230119093,,6399.961967244289,535431.3253012048,52014.25004167563,18014.424075367682,,18394.83192817256,4193.981610565114,,,,17288.55755420286,,600915.0624453106,19181.634610530567,,169526.29866608823,49533.81656631788,50270.3886152162,23868.45221077616,53263.176070193615,7316.514165829233,54576.63522735987,50925.28386251138,44849.67197750703,44104.50374728584,2492,6645.361529761435,,92298.97029938693,1440150.2811592412,541679.9637200397,59421.841541755886,30777.997599104026,,39698.75004928828,55596.58292814694,51423.06710934162,,27190.206546944944,52813.76811594203,34727.354094821916,35567.19900824035,4330.273605421535,0.07497699906265771,,21812.16557595528,10601.359703337454,0.008824552617707286,,16956.248691647477,3640.1914309741956,35203.060437713764,,61050.12982516877,,,110772.7959697733,,61389.692685249625,37231.07228105954,,62681.486362411335,47010.73071027082,14778.232405891978,22939.826164475155,41004.33714037878,22871.06017191977,15704.484593742587,,80770.73965657725,24569.172858818925,57542.11990111248,1202250.7251948416,387424.0292985921,11148.41408903987,56006.02863602109,60953.084595493165,51715.17671517671,353335.1137040613,30752.990633111393,,18578.75696969719,199431.1692001705,2460994.180664272,272139.6324863884,1831178.5428156431,40606.131121003644,1860.4106541399476,36025.362318840576,,19488.894030541414,101460.5422304223,47503.87808928397,16924.79894881559,,25171.21816508131
2016,234230.5321553318,10537.498713198882,19914.458253292716,42227.27272727273,,,50435.24497427142,,30553.123086344152,89212.90587751748,453.4267262153391,22089.827820570914,57966.72243911508,15009.391621004957,73152.14933081299,,6283.281422686628,276684.8404255319,60828.10108393464,18332.184186497216,,17251.35663358337,,,,15838.46859840042,13714.689265536723,,720408.8554153462,20545.411178543978,,229503.65277180917,52912.85569105691,190184.91561181433,20441.70187237583,70722.32171690544,6995.754747553307,52847.79524979524,51972.732093805105,40255.746078073695,42584.36317384546,2406.25,3066.5558023802732,,89356.32516188714,1027281.2724072745,681722.2685120058,38537.127232333594,30524.205748865355,8374.718997604568,34561.36873084372,47929.977617255056,53917.60904684976,,41491.70623234569,44849.61027051811,29793.546139875103,29860.12160802555,4051.722961446605,0.10699053540798822,,24112.02464619236,15035.501193317423,0.008683457606320704,,12519.939577039277,5237.8249171725265,8019.203023016145,,50553.34632482796,9738.864260080221,,64099.36182669789,,58379.87704423997,51442.261319996425,11459.068249258162,56471.82016480289,42798.81596407063,,21031.068031132894,33972.65914137676,20806.36398913465,13733.180155982007,,84020.7174371763,23917.448680351907,74133.41403615935,1302851.5240904624,319456.8158967532,20519.54372623574,62046.839519550966,62702.33429885841,39597.29583716617,386756.6870708672,27507.257987860346,,18974.522732722722,193203.9118376879,2383762.77563379,278399.6069818518,1812006.4040774282,36017.681535677766,1233.6972420168265,34104.186046511626,,19632.601156069362,74922.65539769521,45723.73992505195,18272.373443776352,,22756.481211768132
2017,228359.8210152754,10804.599211826546,13058.41049628239,13093.732354601918,,63295.117696255154,50572.62950423126,,25169.42644588433,33561.09045848823,452.20084579188756,15590.237226277368,50585.172953241796,6094.443964973545,72479.04709810678,192681.7248459959,10401.898794750243,507294.68859530863,51379.246799229026,21685.992664764937,,19484.54210741628,,,,16368.237511781337,11310.509554140128,,638894.712147984,21211.617472159156,,213689.20166872093,45209.62791449034,161041.2147505423,18331.574431094756,64720.39368548755,9563.965056565163,41890.11774442313,40650.98649673857,39141.36221773453,64209.84175157164,1722.6277372262775,6033.995401952286,,79779.10875091444,988261.186999529,571084.3911035759,36486.753007691805,30143.609424643746,7549.217585692995,29258.673270505147,56746.090965949596,50612.3682819439,,35046.71286404042,43129.18871252204,27432.378991213187,23394.980204028558,2943.184567670414,0.10459738429967226,,20441.28667978441,10562.993276819643,0.009625926135043202,,7592.303692147686,5128.86228651984,16164.206434617794,,58542.343370914794,17876.770963704632,,62341.540404040396,,58941.62152867337,60522.135856708344,10535.999641062454,54703.49854227405,43908.09334913193,,19688.835961086883,31657.046573922064,20485.22895125554,12146.304007560318,,97023.37273564629,21583.153550323612,90724.70817120622,1060347.2815257614,296789.7701335578,21468.704862782855,66829.90061932882,61347.14363351556,36765.549046491346,302784.4959385759,22559.37240448505,87899.78064237091,21322.731010322997,174294.58620224113,2313906.780420823,267548.2358195624,1678040.4946820321,34540.043731238184,1023.1271397742454,30864.089775561097,,16470.384981894415,72493.31342591996,46653.13348511136,17379.11220969547,,17375.9735662025
2018,202658.76743009896,9187.143873322571,16476.850947450675,11265.903410514855,,53742.44777550619,47513.70869862177,43952.3554652418,24077.145026575552,47708.775313404054,419.3541759760037,15420.147814910022,30156.852479211582,16779.76688298627,64417.18537367036,231807.13342140024,10621.767401201412,415024.73834443383,54058.31326883958,15841.233317993558,,16729.13529495818,2749.8621177302452,,,,9604.593032338697,,,20551.525558050453,,190309.49252004296,39569.05508494407,144597.98573227026,17098.933487740283,57107.15026410145,8507.564111868367,34046.564724967706,35664.69174032954,35752.31243576568,17482.422931314224,1716.9811320754718,5948.667224631616,791998.9463074951,84301.76162495797,921539.928354919,486377.4763731267,30122.249388753058,29550.225860239505,6255.047987037268,35149.53149280258,44824.67419149931,49165.66021065388,,30815.142504231666,41972.53808195666,23118.811881188114,21602.55503428365,2964.0366891758135,0.1181159003280198,,18053.059730005094,13034.520023557126,0.008652456377608093,28609.67896678967,7426.0751281783,4451.213273726118,15043.948074552181,,57922.33220338982,11461.97971602434,,60958.18080272762,,52730.411351101,70317.72592107253,7130.865727117857,55032.0701357466,38360.59054530993,,16893.25177584846,19020.500799940466,14601.089918256132,15743.908513614684,,90853.73729173202,12609.9461475977,316885.75712143927,968905.9624310958,264103.2483497307,23618.893148530424,81203.37605202755,68879.25283522348,37478.08299240211,247933.88429752065,20416.03885425829,82869.03071672354,20147.154397152797,163054.85686908613,2247629.2577639893,260558.7211831231,1571697.6952476893,30659.251184990666,1003.7022396621705,26747.36059479554,,12697.713613796708,64663.494685344675,40904.120078691136,15435.887038047123,139861.44017037135,19543.25782092772
2019,225742.57425742573,8110.507811811606,11389.746735522653,9438.074466427792,,52726.80408329674,96312.98258581196,42333.85091416304,24689.619732785202,53847.51164501102,322.8500541992431,18476.816006959547,28411.149310872894,15217.923024727399,57566.60147029068,143712.72727272726,8511.235141669922,526138.24101069,49612.38915681394,16435.164170071115,,18989.29537120492,2774.0591310029395,,,11740.213523131672,8351.278079008522,,,18341.685236047055,,194909.13504328826,41310.284443182354,148259.6020360944,15255.121576843954,40162.315193324444,8535.702215999612,32587.858970713674,31689.91039055896,31072.524826963585,44453.35820895522,1397.212543554007,5699.136868064119,891491.9373445793,83480.68846648703,947000.6052536013,494707.41589973937,11511.721907841551,29411.442352536877,,27206.249999999996,45921.29049781949,38949.886375884744,,34540.038863554444,40503.93374741201,23136.483107891534,18079.2220113852,2469.49256754313,0.12118611218782878,36635.18856593037,17602.765438278173,9459.7022260769,0.008193543736386607,26459.33991153454,6733.603395061729,4158.851137229733,12609.54248366013,,58830.16564468244,8335.123537061118,,70863.3141878333,,47369.040150564615,72462.40037505861,6999.858236461582,53019.94071678793,37621.33589620375,27199.537750385207,17151.129280879297,16435.098684210527,14001.03541105819,16604.47370144757,,85756.73522595596,9582.428220627124,89871.88971082718,877464.6433364302,257799.49325638462,22142.624602743974,83144.73749102686,51513.110527904864,36995.94896628794,275241.6756176155,16840.925900244998,,19283.752858827513,164719.54641103576,2472941.0741498927,255621.97055492637,1460843.8723566341,25505.36945251524,771.9571558879045,,11978.831498729889,12948.427352604102,47899.44933443177,38750.205795442365,11743.874843279067,117593.50757846999,
2020,199539.23900118907,7819.767290522424,11953.138586956522,7337.181903864278,,43770.44837742299,68550.741001439,41000.64708878884,19251.739562624254,55456.89956889488,284.54042943518374,11117.687543014454,29345.911949685535,13939.072779570866,48396.541957945345,,9380.888733073316,500104.06152367214,44688.16654816921,12511.50741053139,,20498.370075694795,,,,12976.894929430215,8591.87940140845,,,18998.436256892815,,220118.8438559664,45093.17394704502,,17111.227393860714,40223.99873247914,8721.183123097,33795.053226774486,16516.129032258064,26200,40684.68468468468,1010.1010101010102,3974.0018570102134,915680.3720982517,47064.446087305805,993965.1744484352,677587.7874765834,5394.874868874569,33851.8143545967,,26586.234792495736,,36557.37423915351,,38546.342152619756,38939.888535031845,17233.222174063034,15871.124838385289,2279.5310353849172,0.14120465034760765,46632.05629397967,16172.905580051696,8768.657309322034,0.008100267040247326,21235.99052880821,5648.0145972717,3457.3300214226483,11551.287558769482,,69958.54859356025,8105.264957264958,,73754.83011325782,,42633.76737060948,78808.73131764302,8769.256418806268,48467.321997874606,31628.959276018097,,19801.05424247577,14551.534791610407,13723.264872521248,19349.748575259804,,84686.37683224393,30277.145366559318,93813.87274511284,873670.1190727822,254939.6161193659,17522.147413182138,88361.9622790951,,,513574.861461596,26283.53217119361,,20717.77991200765,144702.76671331684,1978939.2863346338,230824.48327052646,0,,731.0798773489558,,13030.732592424585,9934.921479904177,49858.69118318867,36933.05356584885,11450.0978115957,91872.7963620507,
