,Company,Industry,Cluster Total Emissions Based on 2016-2020 LOG(AVG),2016-2020 AVG CO2 Emissions Intensity (emissions) / ($B operating costs),LOG(2016-2020 AVG CO2 Emissions Intensity (emissions) / ($B operating costs)),Cluster Emissions Intensity Based on 2016-2020 LOG(AVG),Emissions,Financials,Unnamed: 10
0,3M,Industrials,5 ~10089589 tons,218106.18677186425,5.338667984894488,5 ~218440 tons per dollar,Y,Y,
1,Accenture,Information technology,3 ~520047 tons,9291.903380136406,3.96810468523369,2 ~9318 tons per dollar,Y,Y,
2,"ADP, inc",Information technology,2 ~145504 tons,14558.521003900993,4.1631172573623205,3 ~21168 tons per dollar,Y,Y,
3,advanced micro devices,Information technology,2 ~145504 tons,18024.06536304168,4.255852753657899,3 ~21168 tons per dollar,Y,Y,
4,"aetna (2018 emisisons data, missing financial data)",Health Care,2 ~145504 tons,,,#NUM!,N,N,
5,Ahold Delhaize (2017-2020),"Consumer Staples (Food, etc.)",4 ~2132511 tons,53383.704483120266,4.727408707719655,4 ~54241 tons per dollar,Y,Y,
6,akamai technologies,Information technology,2 ~145504 tons,62677.06135287509,4.797108626147722,4 ~54241 tons per dollar,Y,Y,
7,Amazon,Consumer Discretionary,5 ~10089589 tons,42428.95115606456,4.627662296137024,4 ~54241 tons per dollar,Y,Y,Only 2018-2020
8,amgen,Health Care,3 ~520047 tons,24748.2107708427,4.3935438060801495,3 ~21168 tons per dollar,Y,Y,
9,analog devices,Information technology,2 ~145504 tons,55957.43657266314,4.747857811112023,4 ~54241 tons per dollar,Y,Y,
10,apple,Information technology,2 ~145504 tons,386.4744463235314,2.5871207836681385,1 ~1924 tons per dollar,Y,Y,
11,applied materials,Information technology,2 ~145504 tons,16538.94328234646,4.21850775785821,3 ~21168 tons per dollar,Y,Y,
12,aptiv,Consumer Discretionary,3 ~520047 tons,39293.16182642538,4.594316976852534,4 ~54241 tons per dollar,Y,Y,
13,asml (2017-2020),Information technology,2 ~145504 tons,13007.801663064522,4.11420390637935,2 ~9318 tons per dollar,Y,Y,
14,at&t,Communication Services,5 ~10089589 tons,63202.30504616522,4.800732917690216,4 ~54241 tons per dollar,Y,Y,
15,ati (2017-2019),Education,3 ~520047 tons,189400.52851337448,5.277381186547518,5 ~218440 tons per dollar,N,Y,
16,atos se,Information technology,2 ~145504 tons,9039.814298676303,3.956159509027517,2 ~9318 tons per dollar,Y,Y,
17,avangrid,Energy,4 ~2132511 tons,445049.3139799273,5.648408135930974,5 ~218440 tons per dollar,Y,Y,
18,bae systems,Industrials,4 ~2132511 tons,52113.24337139728,4.716948103189154,4 ~54241 tons per dollar,Y,Y,
19,Biogen,Health Care,2 ~145504 tons,16961.216349971644,4.229456993860483,3 ~21168 tons per dollar,Y,Y,
20,bloomberg lp (emissions data 2018-2020 and missing financial data),Financials,2 ~145504 tons,,,#NUM!,Y,N,
21,Boeing,Industrials,4 ~2132511 tons,18590.539896571507,4.269292002504392,3 ~21168 tons per dollar,Y,Y,
22,Booz Allen Hamilton (2018-2019),Consulting,1 ~34056 tons,2761.960624366592,3.44121748280807,1 ~1924 tons per dollar,N,Y,
23,bose (missing financial data),Information technology,1 ~34056 tons,,,#NUM!,Y,N,
24,Boston Consulting Group (2018-2019 emissions and missing financials),Information technology,3 ~520047 tons,,,#NUM!,N,N,
25,Boston Scientific Corporation (2016-2017 and 2019-2020),Health Care,2 ~145504 tons,14230.953640685912,4.15323400387982,3 ~21168 tons per dollar,Y,Y,
26,Capital One,Financials,2 ~145504 tons,10314.589866486504,4.01345196403356,2 ~9318 tons per dollar,Y,Y,
27,Cargill (No financial data),,5 ~10089589 tons,,,#NUM!,Y,N,
28,chevron corporation,Energy,#NUM!,,,#NUM!,N,Y,
29,cisco,Information technology,3 ~520047 tons,19929.735140338693,4.299501527107226,3 ~21168 tons per dollar,Y,Y,
30,clarion,Consumer Discretionary,#NUM!,,,#NUM!,N,N,
31,corning incorporated,Information technology,4 ~2132511 tons,209706.06517196557,5.321610991422065,5 ~218440 tons per dollar,Y,Y,
32,cummins,Industrials,3 ~520047 tons,44818.999416143735,4.651462156685922,4 ~54241 tons per dollar,Y,Y,
33,cypress semiconductor (missing financial data),Information technology,3 ~520047 tons,,,#NUM!,Y,Y,
34,daimler ag,Consumer Discretionary,4 ~2132511 tons,17647.711752383108,4.246688401636699,3 ~21168 tons per dollar,Y,Y,
35,Danaher Corporation,Health Care,#NUM!,,,#NUM!,N,N,
36,Danfoss,Industrials,2 ~145504 tons,54587.2359184596,4.737091103909324,4 ~54241 tons per dollar,Y,Y,
37,dassault systemes,Information technology,1 ~34056 tons,8464.83385101669,3.927618438133698,2 ~9318 tons per dollar,Y,Y,
